1,40813667900,40814223300,00000555400,a17,select
0,40719861100,40720349900,00000488800,a07,poll
0,40720350600,40720351300,00000000700,a00,read
0,40720353600,40720353900,00000000300,a00,read
0,40720358500,40721748800,00001390300,a07,poll
0,40721749400,40721750100,00000000700,a00,read
0,40721752700,40721754900,00000002200,afe,inotify_add_watch
0,40721755200,40721755500,00000000300,afe,inotify_add_watch
0,40721755700,40721756000,00000000300,afe,inotify_add_watch
0,40721757600,40722019300,00000261700,a07,poll
0,40730444000,40730445100,00000001100,a00,read
0,40730447900,40730550700,00000102800,a07,poll
0,40730447900,40730557000,00000109100,a07,poll
0,40719819200,40733568100,00013748900,ae8,epoll_wait
0,40730560100,40739252400,00008692300,a07,poll
0,40739259000,40739261400,00000002400,afe,inotify_add_watch
0,40739261900,40739262200,00000000300,afe,inotify_add_watch
0,40739262700,40739263000,00000000300,afe,inotify_add_watch
0,40739266200,40740079700,00000813500,a07,poll
0,40750920000,40753347100,00002427100,a07,poll
0,40753350700,40753352300,00000001600,afe,inotify_add_watch
0,40753352600,40753353000,00000000400,afe,inotify_add_watch
0,40753353100,40753353400,00000000300,afe,inotify_add_watch
0,40753355200,40767351300,00013996100,a07,poll
0,40767443600,40767444800,00000001200,a07,poll
0,40767448700,40767450600,00000001900,afe,inotify_add_watch
0,40767451100,40767451400,00000000300,afe,inotify_add_watch
0,40767451800,40767452000,00000000200,afe,inotify_add_watch
0,40770111500,40770118700,00000007200,a2e,sendmsg
0,40770123700,40770123900,00000000200,a00,read
0,40770226900,40770228400,00000001500,a00,read
0,40770256300,40770258200,00000001900,a2f,recvmsg
0,40770966000,40770968900,00000002900,a2f,recvmsg
0,40771111300,40771111700,00000000400,a2f,recvmsg
0,40770369200,40777339900,00006970700,a07,poll
0,40770369200,40777346900,00006977700,a07,poll
0,40777350300,40781540100,00004189800,a07,poll
0,40781543700,40781545500,00000001800,afe,inotify_add_watch
0,40781546000,40781546200,00000000200,afe,inotify_add_watch
0,40781546400,40781546700,00000000300,afe,inotify_add_watch
0,40785100400,40785100500,00000000100,a0c,brk
0,40785109700,40785111600,00000001900,a15,access
0,40785112400,40785113300,00000000900,a09,mmap
0,40785118100,40785119000,00000000900,a15,access
0,40785125000,40785126100,00000001100,a09,mmap
0,40785129900,40785130400,00000000500,a15,access
0,40785134400,40785135300,00000000900,a00,read
0,40785136800,40785138800,00000002000,a09,mmap
0,40785143900,40785147900,00000004000,a09,mmap
0,40785150000,40785151200,00000001200,a09,mmap
0,40785157600,40785158200,00000000600,a15,access
0,40785161900,40785162500,00000000600,a00,read
0,40785163400,40785165400,00000002000,a09,mmap
0,40785169700,40785172600,00000002900,a09,mmap
0,40785174600,40785175700,00000001100,a09,mmap
0,40785184500,40785185000,00000000500,a15,access
0,40785187600,40785188400,00000000800,a00,read
0,40785188900,40785189700,00000000800,a09,mmap
0,40785191200,40785192800,00000001600,a09,mmap
0,40785197900,40785199800,00000001900,a09,mmap
0,40785207900,40785208500,00000000600,a15,access
0,40785211400,40785211800,00000000400,a00,read
0,40785212500,40785214100,00000001600,a09,mmap
0,40785217400,40785219600,00000002200,a09,mmap
0,40785227100,40785227700,00000000600,a15,access
